UserName;Date;Favorites;Retweets;Text
amara5500;Fri Apr 10 23:40:32 CEST 2015;0;0;@David_Cameron The EU want to control our sky, airports, seas, ports, roads, tolls, rail, rivers http://ec.europa.eu/transport/themes/strategies/doc/2011_white_paper/white-paper-illustrated-brochure_en.pdf … I'm voting #UKIP
stephen501;Fri Apr 10 23:38:09 CEST 2015;0;0;@Neilccfc @LucyMPowell @David_Cameron Rumoured they plan a super vat of 33% on luxury goods such as Ipads, tv's.
WrigleyHowe;Fri Apr 10 23:37:50 CEST 2015;0;1;@MccabeCJM can't give url but @cpeedell and others' exclusion (and that of non- @David_Cameron photographers) is sinister and more US than UK
stephen501;Fri Apr 10 23:37:16 CEST 2015;0;0;@Neilccfc @LucyMPowell @David_Cameron Every £2.5 bn pledge = 1% vat. They have offered £7bn in tax cuts = nearly another 3% on top of 3% NHS
Mr_MusicUk;Fri Apr 10 23:36:47 CEST 2015;0;0;He didn't even say hello when we get off the train @David_Cameron pic.twitter.com/VQlT2o5Rs0
trevdick;Fri Apr 10 23:36:28 CEST 2015;0;1;@KarlTurnerMP @DbAshby @David_Cameron Cameron has found the #magicmoneytree !!!! #libdems
Bundy_James7;Fri Apr 10 23:33:33 CEST 2015;2;3;Fantastic move by @David_Cameron and the @Conservatives we love our #NHS so will protect it #VoteConservative pic.twitter.com/OduHQC3gcJ
HRHKingDaz;Fri Apr 10 23:33:29 CEST 2015;1;1;@David_Cameron pan face
KarlTurnerMP;Fri Apr 10 23:32:31 CEST 2015;0;1;@SunPolitics so #DesperateDave @David_Cameron will get even more personal. pic.twitter.com/qQkDH89MRu
CliveMUKIP;Fri Apr 10 23:32:27 CEST 2015;11;15;" @ukipwebmaster: + BREAKING + @David_Cameron 's battle bus defects to #UKIP ! http://bit.ly/1IQAEJs  pic.twitter.com/KBFTtpqL9u"
GrandmasterSub;Fri Apr 10 23:31:28 CEST 2015;0;1;@ianhudspeth @David_Cameron from what I've seen on here I got the impression it was a farce. Are you just trotting out the party line on it?
FordingtonField;Fri Apr 10 23:30:18 CEST 2015;0;0;Oh dear @David_Cameron, first Grant Schnapps, then Michael Forlorn-Hope and now Eric Pickles ........ pic.twitter.com/0ZWYUXCsqh
BlakeKM;Fri Apr 10 23:30:10 CEST 2015;4;12;. @David_Cameron Freezing rail fares: like you said you "won't raise VAT" or "no NHS cuts"?
KarlTurnerMP;Fri Apr 10 23:29:18 CEST 2015;12;39;Desperate @David_Cameron will announce further unfunded plans tomorrow. This time his lies will be about our #NHS. pic.twitter.com/nMOkjRjtqH
calvindenni;Fri Apr 10 23:27:58 CEST 2015;8;30;@Biffed @MariamariaRBM @David_Cameron did he slip in the shit that comes out of his mouth? Or the shit that goes in? pic.twitter.com/ToZvGgn9gy
ButchCredo;Fri Apr 10 23:27:55 CEST 2015;0;0;@David_Cameron is a toxic brand - he would sell his mother to stay in power. https://twitter.com/OwenJones84/status/586641149772824576 …
stephen501;Fri Apr 10 23:27:49 CEST 2015;0;13;@LucyMPowell Tories commit to £8bn a year more for the NHS. Very nice, but how are you going to pay for it @David_Cameron = 3% rise in Vat
The_Angry_Nurse;Fri Apr 10 23:27:13 CEST 2015;0;0;@OwenJones84 I bet @David_Cameron prays nightly to Thatcher's ghost for a Falklands invasion.
LeeMorgan239;Fri Apr 10 23:27:01 CEST 2015;0;0;@SymonsPaul @Asitseemstome @David_Cameron @age_uk it isn't volunteering. I've done community outreach which i was paid to do.
Wildraar;Fri Apr 10 23:26:39 CEST 2015;0;0;Will you endorse the 1st ever festival in the UK for people with learning disabilities? http://newforestspectrum.org/  @david_cameron @ed_miliband
WrigleyHowe;Fri Apr 10 23:26:20 CEST 2015;8;34;@cpeedell I disagree with you on many things but you have opened my eyes to @David_Cameron's shameless abuse of democracy in Witney.
LeeMorgan239;Fri Apr 10 23:25:57 CEST 2015;0;0;@SymonsPaul @Asitseemstome @David_Cameron @age_uk which is good - as long as it's not an excuse to run down public services.
DeanKB37;Fri Apr 10 23:25:26 CEST 2015;0;0;Do the conservatives have a published manifesto that voters can access @David_Cameron ????
MervynRandall;Fri Apr 10 23:24:45 CEST 2015;0;0;@David_Cameron tweets 'freezing regulated rail fares' @BorisJohnson tweets 'freeze fares at RPI' @WhichUK RPI's an increase @Conservatives
LeeMorgan239;Fri Apr 10 23:24:10 CEST 2015;0;0;@SymonsPaul @Asitseemstome @David_Cameron @age_uk so let them crack on but it's not volunteering. Community outreach perhaps.
rosiejwhitfield;Fri Apr 10 23:24:02 CEST 2015;0;1;@NickyMorgan01 @educationgovuk @David_Cameron You need to read this: https://disidealist.wordpress.com/2015/04/08/mediocre-failures/ …
campbellclaret;Fri Apr 10 23:21:04 CEST 2015;1;0;@gillalexander @David_Cameron should
LadyRach;Fri Apr 10 23:20:36 CEST 2015;0;0;@MikeBloomberg @ChefBensonSmith @David_Cameron Sorry to say that you (Mr Bloomberg) vaguely look like @Nigel_Farage! #ukelections2015
KatyaChachiACI;Fri Apr 10 23:19:29 CEST 2015;1;0;@David_Cameron Hi, I'm from http://aciprensa.com , I'd like to get permission to use this video: https://youtu.be/G1qo1gd4klc  with your credits
campbellclaret;Fri Apr 10 23:19:13 CEST 2015;1;0;@kirstyhyndes @David_Cameron thnx
MervynRandall;Fri Apr 10 23:17:04 CEST 2015;1;0;@David_Cameron @Conservatives Effects; Secondary - a drop in inflation Tertiary - #Transfer will decrease Are you ready for the disquiet?
TQHeraldExpress;Fri Apr 10 23:10:11 CEST 2015;0;0;@David_Cameron What are the Camerons watching on box-set right now? http://ow.ly/Lru2H  pic.twitter.com/X931U7QMoP
simon_villau;Fri Apr 10 23:08:12 CEST 2015;0;0;Tut tut @David_Cameron of course its cream first and then jam second!
richardblogger;Fri Apr 10 23:06:44 CEST 2015;0;5;Dear @David_Cameron As an FT governor I have 6 voluntary governor meetings this month alone. 3 days a year won't cover my volunteering
PaulOnPolitics;Fri Apr 10 23:05:57 CEST 2015;1;0;@MikkiL @pripley2426 @David_Cameron @Ed_Miliband you can see the other ratings on the website #kentdecides
