,scores,,,,,
877,-1,-1,,,,
878,0,0,,,,
879,0,0,,,,
880,0,0,,,,
881,0,0,,,,
882,-1,-1,,,,
883,0,0,,,,
884,0,0,,,,
885,0,0,,,,
886,0,0,,,,
887,0,0,,,,
888,0,0,,,,
889,0,0,,,,
890,0,0,,,,
891,1,1,,,,
892,-1,-1,,,,
893,0,0,,,,
894,0,0,,,,
895,0,0,,,,
896,0,0,,,,
897,-1,-1,,,,
898,0,0,,,,
899,0,0,,,,
900,-2,-1,,,,
901,0,0,,,,
902,-1,-1,,,,
903,0,0,,,,
904,1,1,,,,
905,1,1,,,,
906,0,0,,,,
907,0,0,,,,
908,2,1,,,,
909,3,1,,,,
910,1,1,,,,
911,0,0,,,,
912,0,0,,,,
913,1,1,,,,
914,0,0,,,,
915,-1,-1,,,,
916,0,0,,,,
917,2,1,,,,
918,1,1,,,,
919,1,1,,,,
920,1,1,,,,
921,0,0,,,,
922,-1,-1,,,,
923,1,1,,,,
924,0,0,,,,
925,0,0,,,,
926,0,0,,,,
927,0,0,,,,
928,0,0,,,,
929,0,0,,,,
930,0,0,,,,
931,1,1,,,,
932,3,1,,,,
933,1,1,,,,
934,0,0,,,,
935,-1,-1,,,,
936,2,1,,,,
937,1,1,,,,
938,0,0,,,,
939,0,0,,,,
940,-1,-1,,,,
941,0,0,,,,
942,1,1,,,,
943,0,0,,,,
944,0,0,,,,
945,1,1,,,,
946,1,1,,,,
947,-2,-1,,,,
948,0,0,,,,
949,0,0,,,,
950,0,0,,,,
951,0,0,,,,
952,1,1,,,,
953,-1,-1,,,,
954,-1,-1,,,,
955,0,0,,,,
956,0,0,,,,
957,0,0,,,,
958,2,1,,,,
959,0,0,,,,
960,-1,-1,,,,
961,-1,-1,,,,
962,2,1,,,,
963,0,0,,,,
964,0,0,,,,
965,0,0,,,,
966,-1,-1,,,,
967,-1,-1,,,,
968,1,1,,,,
969,-4,-1,,,,
970,-1,-1,,,,
971,0,0,,,,
972,0,0,,,,
973,2,1,,,,
974,-1,-1,,,,
975,0,0,,,,
976,0,0,,,,
977,-2,-1,,,,
978,0,0,,,,
979,-1,-1,,,,
980,0,0,,,,
981,0,0,,,,
982,1,1,,,,
983,-1,-1,,,,
984,-1,-1,,,,
985,0,0,,,,
986,2,1,,,,
987,0,0,,,,
988,1,1,,,,
989,0,0,,,,
990,1,1,,,,
991,0,0,,,,
992,1,1,,,,
993,1,1,,,,
994,-1,-1,,,,
995,-1,-1,,,,
996,-1,-1,,,,
997,1,1,,,,
998,0,0,,,,
999,0,0,,,,
1000,0,0,,,,
1001,1,1,,,,
1002,-1,-1,,,,
1003,0,0,,,,
1004,1,1,,,,
1005,0,0,,,,
1006,0,0,,,,
1007,0,0,,,,
1008,-1,-1,,,,
1009,0,0,,,,
1010,0,0,,,,
1011,-1,-1,,,,
1012,1,1,,,,
1013,1,1,,,,
1014,0,0,,,,
1015,-1,-1,,,,
1016,0,0,,,,
1017,1,1,,,,
1018,1,1,,,,
1019,-1,-1,,,,
1020,0,0,,,,
1021,1,1,,,,
1022,-1,-1,,,,
1023,0,0,,,,
1024,0,0,,,,
1025,-2,-1,,,,
1026,0,0,,,,
1027,1,1,,,,
1028,1,1,,,,
1029,1,1,,,,
1030,0,0,,,,
1031,0,0,,,,
1032,0,0,,,,
1033,-1,-1,,,,
1034,2,1,,,,
1035,-1,-1,,,,
1036,-1,-1,,,,
1037,1,1,,,,
1038,0,0,,,,
1039,0,0,,,,
1040,-1,-1,,,,
1041,0,0,,,,
1042,0,0,,,,
1043,-2,-1,,,,
1044,0,0,,,,
1045,0,0,,,,
1046,0,0,,,,
1047,-1,-1,,,,
1048,2,1,,,,
1049,0,0,,,,
1050,1,1,,,,
1051,-1,-1,,,,
1052,-1,-1,,,,
1053,1,1,,,,
1054,1,1,,,,
1055,0,0,,,,
1056,0,0,,,,
1057,0,0,,,,
1058,0,0,,,,
1059,0,0,,,,
1060,-2,-1,,,,
1061,-2,-1,,,,
1062,0,0,,,,
1063,0,0,,,,
1064,1,1,,,,
1065,0,0,,,,
1066,1,1,,,,
1067,1,1,,,,
1068,0,0,,,,
1069,0,0,,,,
1070,0,0,,,,
1071,2,1,,,,
1072,-2,-1,,,,
1073,1,1,,,,
1074,1,1,,,,
1075,-1,-1,,,,
1076,0,0,,,,
1077,-1,-1,,,,
1078,0,0,,,,
1079,0,0,,,,
1080,0,0,,,,
1081,0,0,,,,
1082,1,1,,,,
1083,0,0,,,,
1084,0,0,,,,
1085,1,1,,,,
1086,0,0,,,,
1087,0,0,,,,
1088,0,0,,,,
1089,0,0,,,,
1090,0,0,,,,
1091,0,0,,,,
1092,0,0,,,,
1093,1,1,,,,
1094,1,1,,,,
1095,0,0,,,,
1096,1,1,,,,
1097,1,1,,,,
1098,-2,-1,,,,
1099,0,0,,,,
1100,-1,-1,,,,
1101,3,1,,,,
1102,-1,-1,,,,
1103,0,0,,,,
1104,1,1,,,,
1105,0,0,,,,
1106,0,0,,,,
1107,0,0,,,,
1108,0,0,,,,
1109,-2,-1,,,,
1110,0,0,,,,
1111,1,1,,,,
1112,0,0,,,,
1113,0,0,,,,
1114,1,1,,,,
1115,0,0,,,,
1116,0,0,,,,
1117,0,0,,,,
1118,-1,-1,,,,
1119,1,1,,,,
1120,0,0,,,,
1121,0,0,,,,
1122,1,1,,,,
1123,-1,-1,,,,
1124,1,1,,,,
1125,-1,-1,,,,
1126,0,0,,,,
1127,-1,-1,,,,
1128,-1,-1,,,,
1129,0,0,,,,
1130,0,0,,,,
1131,1,1,,,,
1132,0,0,,,,
1133,0,0,,,,
1134,0,0,,,,
1135,-1,-1,,,,
1136,0,0,,,,
1137,1,1,,,,
1138,0,0,,,,
1139,0,0,,,,
1140,0,0,,,,
1141,0,0,,,,
1142,0,0,,,,
1143,-1,-1,,,,
1144,0,0,,,,
1145,0,0,,,,
1146,0,0,,,,
1147,1,1,,,,
1148,0,0,,,,
1149,-2,-1,,,,
1150,1,1,,,,
1151,0,0,,,,
1152,0,0,,,,
1153,0,0,,,,
1154,0,0,,,,
1155,1,1,,,,
1156,1,1,,,,
1157,0,0,,,,
1158,3,1,,,,
1159,2,1,,,,
1160,0,0,,,,
1161,-2,-1,,,,
1162,2,1,,,,
1163,-1,-1,,,,
1164,2,1,,,,
1165,1,1,,,,
1166,1,1,,,,
1167,1,1,,,,
1168,0,0,,,,
1169,-1,-1,,,,
1170,1,1,,,,
1171,1,1,,,,
1172,0,0,,,,
1173,0,0,,,,
1174,0,0,,,,
1175,0,0,,,,
1176,0,0,,,,
1177,1,1,,,,
1178,0,0,,,,
1179,0,0,,,,
1180,0,0,,,,
1181,0,0,,,,
1182,0,0,,,,
1183,1,1,,,,
1184,1,1,,,,
1185,0,0,,,,
1186,-2,-1,,,,
1187,0,0,,,,
1188,-2,-1,,,,
1189,1,1,,,,
1190,0,0,,,,
1191,-1,-1,,,,
1192,2,1,,,,
1193,-1,-1,,,,
1194,0,0,,,,
1195,1,1,,,,
1196,2,1,,,,
1197,0,0,,,,
1198,1,1,,,,
1199,1,1,,,,
1200,0,0,,,,
1201,-1,-1,,,,
1202,1,1,,,,
1203,0,0,,,,
1204,1,1,,,,
1205,0,0,,,,
1206,-1,-1,,,,
1207,0,0,,,,
1208,0,0,,,,
1209,0,0,,,,
1210,0,0,,,,
1211,0,0,,,,
1212,-1,-1,,,,
1213,-3,-1,,,,
1214,0,0,,,,
1215,0,0,,,,
1216,0,0,,,,
1217,0,0,,,,
1218,0,0,,,,
1219,0,0,,,,
1220,1,1,,,,
1221,0,0,,,,
1222,1,1,,,,
1223,-1,-1,,,,
1224,0,0,,,,
1225,1,1,,,,
1226,-1,-1,,,,
1227,1,1,,,,
1228,-1,-1,,,,
1229,3,1,,,,
1230,1,1,,,,
1231,-1,-1,,,,
1232,0,0,,,,
1233,0,0,,,,
1234,0,0,,,,
1235,0,0,,,,
1236,0,0,,,,
1237,0,0,,,,
1238,2,1,,,,
1239,0,0,,,,
1240,0,0,,,,
1241,0,0,,,,
1242,-2,-1,,,,
1243,0,0,,,,
1244,0,0,,,,
1245,0,0,,,,
1246,0,0,,,,
1247,1,1,,,,
1248,-1,-1,,,,
1249,0,0,,,,
1250,0,0,,,,
1251,0,0,,,,
1252,2,1,,,,
1253,1,1,,,,
1254,0,0,,,,
1255,1,1,,,,
1256,1,1,,,,
1257,0,0,,,,
1258,-3,-1,,,,
