,scores,
1946,-1,-1
1947,2,1
1948,0,0
1949,0,0
1950,1,1
1951,0,0
1952,0,0
1953,0,0
1954,1,1
1955,0,0
1956,0,0
1957,1,1
1958,0,0
1959,0,0
1960,-1,-1
1961,-2,-1
1962,1,1
1963,1,1
1964,0,0
1965,1,1
1966,1,1
1967,0,0
1968,2,1
1969,0,0
1970,0,0
1971,-2,-1
1972,0,0
1973,0,0
1974,-1,-1
1975,0,0
1976,2,1
1977,1,1
1978,1,1
1979,0,0
1980,0,0
1981,-2,-1
1982,0,0
1983,1,1
1984,2,1
1985,0,0
1986,1,1
1987,1,1
1988,1,1
1989,0,0
1990,2,1
1991,1,1
1992,0,0
1993,0,0
1994,0,0
1995,-3,-1
1996,0,0
1997,0,0
1998,-1,-1
1999,1,1
2000,2,1
2001,1,1
2002,-1,-1
2003,0,0
2004,0,0
2005,1,1
2006,1,1
2007,0,0
2008,0,0
2009,-1,-1
2010,0,0
2011,-1,-1
2012,0,0
2013,0,0
2014,2,1
2015,0,0
2016,0,0
2017,3,1
2018,0,0
2019,0,0
2020,-2,-1
2021,1,1
2022,-1,-1
2023,1,1
2024,2,1
2025,2,1
2026,0,0
2027,0,0
2028,0,0
2029,0,0
2030,-1,-1
2031,-2,-1
